年度,順位,出走頭数,勝馬頭数,出走回数,勝利回数,重賞,,特別,,平場,,芝,,ダート,,勝馬率,EI,入着賞金(万円),平均距離(芝),平均距離(ダ),代表馬
,,,,,,出走,勝利,出走,勝利,出走,勝利,出走,勝利,出走,勝利
累計,158,420,113,"3,660",207,125,5,719,44,"2,816",158,"2,228",141,"1,388",62,.269,0.68,"403,205.2","1,629.8","1,535.5",
2023,50,60,8,239,12,17,2,55,2,167,8,127,7,108,5,.133,0.86,"31,878.9","1,571.4","1,490.0",エルトンバローズ
2022,52,78,10,333,12,7,0,75,2,251,10,147,10,185,2,.128,0.64,"32,369.5","1,760.0","1,450.0",ラプタス
2021,29,125,26,527,29,30,0,111,6,386,23,283,11,232,16,.208,0.80,"62,753.9","1,654.6","1,575.0",ラプタス
2020,26,134,28,564,30,14,1,139,8,411,21,333,18,222,11,.209,0.80,"66,106.0","1,511.1","1,463.6",モズベッロ
2019,22,139,27,669,36,13,0,176,10,480,26,446,28,211,7,.194,0.84,"72,259.7","1,700.0","1,414.3",ミッキーブリランテ
2018,26,152,34,645,37,14,1,93,6,538,30,382,24,257,13,.224,0.67,"63,034.0","1,641.7","1,592.3",セダブリランテス
2017,29,138,31,528,39,25,1,60,9,443,29,382,32,146,7,.225,0.68,"58,791.8","1,643.8","1,592.9",セダブリランテス
2016,81,56,11,155,12,5,0,10,1,140,11,128,11,27,1,.196,0.46,"16,011.4","1,472.7","1,800.0",ディーパワンサ
